,name,forward [log2(rna/dna)],reverse [log2(rna/dna)],chr.hg38,start.hg38,stop.hg38
0,ENSG00000000003,1.063,0.527,X,100636703.0,100636903.0
2,ENSG00000000460,2.417,1.611,1,169794879.0,169795079.0
4,ENSG00000000938,-1.568,-1.129,1,27623889.0,27624089.0
6,ENSG00000001167,1.516,1.602,6,41072881.0,41073081.0
8,ENSG00000002726,-2.086,-1.663,7,150824694.0,150824894.0
10,ENSG00000002746,-1.242,-0.685,7,43112502.0,43112702.0
12,ENSG00000002933,-1.049,0.649,7,150800322.0,150800522.0
14,ENSG00000004478,-0.906,-2.008,12,2794864.0,2795064.0
16,ENSG00000004487,1.216,1.535,1,23019247.0,23019447.0
18,ENSG00000004766,2.336,1.637,7,93232177.0,93232377.0
20,ENSG00000004779,2.095,0.456,16,23596259.0,23596459.0
22,ENSG00000004809,-1.479,-1.71,6,110476490.0,110476690.0
24,ENSG00000004848,-1.05,-1.833,X,25015742.0,25015942.0
26,ENSG00000004864,-1.006,-1.52,7,96321907.0,96322107.0
28,ENSG00000004897,1.8,1.729,17,47189284.0,47189484.0
30,ENSG00000004961,2.342,1.95,X,11111150.0,11111350.0
32,ENSG00000005020,-0.788,-1.334,7,26864341.0,26864541.0
34,ENSG00000005022,0.869,0.961,X,119468328.0,119468528.0
36,ENSG00000005206,1.509,1.472,19,2328511.0,2328711.0
38,ENSG00000005238,0.403,0.256,9,35115766.0,35115966.0
40,ENSG00000005302,-1.848,-2.305,X,11759557.0,11759757.0
42,ENSG00000005469,1.54,1.161,7,87345514.0,87345714.0
44,ENSG00000005884,-0.529,-1.946,17,50056008.0,50056208.0
46,ENSG00000005893,1.397,1.13,X,120469225.0,120469425.0
48,ENSG00000005961,-1.134,-0.901,17,44389404.0,44389604.0
50,ENSG00000006282,0.565,0.071,17,50546999.0,50547199.0
52,ENSG00000006451,1.76,1.525,7,39623411.0,39623611.0
54,ENSG00000006534,-2.387,-1.93,11,68010210.0,68010410.0
56,ENSG00000006576,1.286,1.45,7,77798682.0,77798882.0
58,ENSG00000006606,-1.431,-2.397,7,75772106.0,75772306.0
60,ENSG00000006625,-1.998,-1.494,7,30504674.0,30504874.0
62,ENSG00000006638,-1.141,-1.903,19,3600551.0,3600751.0
64,ENSG00000006659,-1.383,-0.831,19,39704235.0,39704435.0
66,ENSG00000006704,2.003,1.367,7,74453730.0,74453930.0
68,ENSG00000006712,-2.197,-1.655,19,39390783.0,39390983.0
70,ENSG00000006715,1.731,1.371,7,38909110.0,38909310.0
72,ENSG00000006747,-0.88,-1.37,7,12570571.0,12570771.0
74,ENSG00000006757,2.293,1.139,X,7927349.0,7927549.0
76,ENSG00000007202,2.288,1.072,17,28645152.0,28645352.0
78,ENSG00000007264,-1.612,-1.732,19,3784355.0,3784555.0
80,ENSG00000007312,0.358,-0.125,17,63932224.0,63932424.0
82,ENSG00000007944,-1.989,-1.937,6,16129123.0,16129323.0
84,ENSG00000008056,-0.601,-0.284,X,47619741.0,47619941.0
86,ENSG00000008226,0.024,0.857,3,38039139.0,38039339.0
88,ENSG00000008300,0.801,0.731,3,48662897.0,48663097.0
90,ENSG00000008952,2.451,0.994,3,169966652.0,169966852.0
92,ENSG00000009307,1.429,1.93,1,114757863.0,114758063.0
94,ENSG00000010030,-1.522,-1.199,6,36387499.0,36387699.0
